artist,title,spotify_uri,original_lang,length,translation_review_required,lyrics_in_en,qa_pred_lang,qa_pred_confidence
Crowd Lu,太陽與地球,0bQSWXtpau3VkNI1ZcXTQA,zh,434,True,"想守護你所有
回應你包容的溫柔
想用盡一生 陪在你左右是我
曙光和暮暉的夢

短暫如煙火 在懷裡墜落
Running towards the starry sky but unable to reach my heart
有什麼理由 必須要我放手

誰要我們的心 遙遠得像太陽與地球
怎會走到最後 你愛著我卻不屬於我
誰要時間奔走 只能照耀再不能觸碰
最靠近的我們 怎麼繞著繞著就錯過

在偌大銀河中
沒想過像流星交錯
該怎麼原諒讓你哭的人是我
抱歉沒有機會說

最渴望的夢 是你在等我
轟烈在星空 消散在心中
最難忘的人 是永恆地錯過

誰要我們的心 遙遠得像太陽與地球
怎會走到最後 你愛著我卻不屬於我
誰要時間奔走 只能照耀再不能觸碰
最靠近的我們  怎麼繞著繞著各自走

人總要狠狠痛過
才懂我要什麼
捨不得你不再快樂
如果悲傷請你留給我

原來我們的心  頑固地像太陽與地球
以為徹底分開 徹底放手 不曾離開過
我們只是錯過  誰都沒錯都努力愛過
最遙遠的我們  別回頭往幸福一直走",zh,0.9489373564720154
Jay Chou,擱淺,0cOMncRq4cmDLO4tPQnkBF,zh,429,True,"The sky that has not cleared up for a long time
依舊留著你的笑容
哭過 卻無法掩埋歉疚
風箏在陰天擱淺
想念還在等待救援
我拉著線 複習你給的溫柔

曝曬在一旁的寂寞
笑我給不起承諾
怎麼會 怎麼會
你竟原諒了我

我只能永遠讀著對白
讀著我給你的傷害
我原諒不了我
就請你當作我已不在
我睜開雙眼看著空白
忘記你對我的期待
讀完了依賴 我很快就離開

The sky that has not cleared up for a long time
依舊留著你的笑容
哭過 卻無法埋歉
風箏在陰天擱淺
想念還在等待救援
我拉著線 複習你給的溫柔

曝曬在一旁的寂寞
笑我給不起承諾
怎麼會 怎麼會
你竟原諒了我

我只能永遠讀著對白
讀著我給你的傷害
我原諒不了我
就請你當作我已不在
我睜開雙眼看著空白
忘記你對我的期待
讀完了依賴 我很快就
我只能永遠讀著對白
讀著我給你的傷害
我原諒不了我
就請你當作我已不在
我睜開雙眼看著空白
忘記你對我的期待
讀完了依賴 我很快就離開",zh,0.9793427586555481
"Gorillaz, De La Soul",Feel Good Inc.,0d28khcov6AiegSCpG5TuT,en,2691,False,"Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-haa
Feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good

City's breaking down on a camel's back
They just have to go, 'cause they don't know wack
So while you fill the streets, it's appealing to see
You won't get out the county 'cause you're damned and free
You got a new horizon, it's ephemeral style
A melancholy town where we never smile
And all I wanna hear is the message beep
My dreams, they gotta kiss because I don't get sleep, no
*Beep
*

Windmill, windmill for the land
Turn forever, hand in hand
Take it all in on your stride
It is ticking, falling down
Love forever, love is free
Let's turn forever, you and me
Windmill, windmill for the land
Is everybody in?

Laughin' gas, these hazmats, fast cats
Linin' 'em up like ass cracks
Play these ponies at the track
It's my chocolate attack
Shit, I'm steppin' in the heart of this here (Yeah)
Care Bear repping in harder this year (Yeah)
Watch me as I gravitate, ha-ha-ha-ha-ha!
Yo, we gon' ghost town this Motown
With yo' sound, you in the blink
Gon' bite the dust, can't fight with us
With yo' sound, you kill the Inc
So don't stop, get it, get it (Get it)
Until you're cheddar headed
And watch the way I navigate, ha-ha-ha-ha-ha
(Ha! Ha-ha! Ha-ha! Ha-ha! Ha!)
(Ha-ha-ha! Haa!)
(Ha-ha-ha-ha-ha! Haa!)
(Ha-ha-ha-ha-ha-ha-ha-ha! Haa!)
(Ha-ha-ha-ha-ha-ha-ha-ha!)

Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good
Sha-ba, sha-ba, sha-ba-da-ba, feel good


Windmill, windmill for the land
Turn forever, hand in hand
Take it all in on your stride
It is ticking, falling down
Love forever, love is free
Let's turn forever, you and me
Windmill, windmill for the land
Is everybody in?

Don't stop, get it, get it, peep how your captain's in it
(Sha-ba, sha-ba, sha-ba-da-ba, feel good)
Steady, watch me navigate, ha-ha-ha-ha-ha!
(Sha-ba, sha-ba, sha-ba-da-ba, feel good)
Don't stop, get it, get it, peep how your captain's in it
(Sha-ba, sha-ba, sha-ba-da-ba, feel good)
Steady, watch me navigate, ha-ha-ha-ha-ha!
(Sha-ba, sha-ba, sha-ba-da-ba, feel good)
Sha-ba, sha-ba, sha-ba-da-ba, feel good (Haa-ha-ha!)
Sha-ba, sha-ba, sha-ba-da-ba, feel good (Haa-ha-ha!)
Sha-ba, sha-ba, sha-ba-da-ba, feel good (Haa-ha-ha-ha-ha!)
Sha-ba, sha-ba, sha-ba-da-ba, feel good (Haa-ha-ha-ha-ha-ha!)",en,0.5546458959579468
高爾宣 OSN,Without You,0KWnRv3wxjltYVB3MqjNd2,zh,1321,True,"I’m still the same 都好像沒有變
Nothing changed 還是討厭下雨天
還是不愛認錯
脾氣是硬了點
這我都清楚但我沒有辦法改變
我後悔高中花錢裝很吵的排氣管
想努力賺錢養妳 卻養成了壞習慣
我還想帶妳到處晃晃到處帶妳玩
'Cause me without you it feels like
情人節沒有愛人
像台相機沒有快門
像張書桌沒有檯燈
'Cause me without you it feels like

A sentence without no spaces
It be like youtube without no playlist
Or a chapter without no pages
'Cause me without you it feels just wrong

I don’t wanna live without you
I dont wanna be alone and
想念妳的每個角度
如果我們還能夠重來
Oh
You don’t know how I feel inside
So
I don’t wanna live without you
我沒有辦法

'Cause I’ve been through that
重蹈覆徹 I can’t do that
沒得負責 Oh damn too bad
I need you right now, yo, where you at?
先把我的面子放兩邊
榨乾我就像搶劫
Goddamn, I got nothing left
掉進去 No fun down here
Save me I call my friends
訴苦 說了好幾遍
他們叫我振作點
I know man but I fuckin can’t
幫我刪了 Instagram
Your post I don’t wanna see
Thinking of you once promised me
我乾掉一支Hennessy

I just wanna know, baby, why you gonna go?
我們之間太多 的我捨不得放手 yeah
失去妳就像失去我的麥克風
I don't want my fans, I don't want IG followers 'cause—

I don’t wanna live without you
I don‘t wanna be alone and
想念妳的每個角度
如果我們還能夠重來
Oh
You don’t know how I feel inside
So
I don’t wanna live without you
我沒有辦法
I don’t wanna live without you
I don‘t wanna be alone and
想念妳的每個角度
如果我們還能夠重來
Oh
You don’t know how I feel inside
So
I don’t wanna live without you
我沒有辦法",zh,0.965130627155304
Amazing Show,偷偷愛,0L7R4dmkwk46DEZgqx1fF7,zh,831,True,"天空有時會 想起那一年的倦
隨風兒消遣 彷彿不曾掉眼淚
捲起的歲月 潮濕卻很香甜
將你無聲吹遠

你的航班沒有延後 而我如期地錯過
飛航模式把訊息清空 遁入白晝
I am in autumn and you are in the southern hemisphere in spring
If you lose your homesickness
你說家的輪廓 依舊混濁 一如我害怕漂泊
我開口卻只能吐出沉默

看著你 我武裝情感你無法猜透
偷偷愛 用友情包覆著我的怯懦
幻想著 你有天會對我心動
你的一顰一笑 一舉一動 能否給我

或許再念舊 也只能遷就
隨時間淹沒 記憶剝落了臉孔
退後的脆弱 罪咎與墜落
執著的最後 回頭沒有誰對誰錯
你一無反顧奔向陌生的世界
選擇今天的你拋下我顧後而瞻前
你的微笑還是遙遠

看著你 我武裝情感你無法猜透
偷偷愛 用友情包覆著我的怯懦
幻想著 你有天會對我心動
而你牽著的手 是對是錯 或是遷就
看著你 無話不說卻也不能再多
偷偷愛 再苦笑著把自己給騙過
幻想著 你有天會對我心動
你的一顰一笑 一舉一動 能否給我

看著你 我武裝情感你無法猜透
偷偷愛 用友情包覆著我的怯懦
幻想著 你有天會對我心動
而你牽著的手 是對是錯 或是遷就
看著你 無話不說卻也不能再多
偷偷愛 再苦笑著把自己給騙過
幻想著 你有天會對我心動
你的一顰一笑 一舉一動 能否給我

La-la-la, la-la-la-la, la-la-la
La-la-la, la-la-la-la, la-la-la
La-la-la, la-la-la-la, la-la-la
La-la-la, la-la-la-la, la-la-la

看著你 我武裝情感你無法猜透
偷偷愛 用友情包覆著我的怯懦
幻想著 你有天會對我心動
而你牽著的手 是對是錯 或是遷就
看著你 無話不說卻也不能再多
偷偷愛 再苦笑著把自己給騙過
幻想著 你有天會對我心動
你的一顰一笑 一舉一動 能否給我",zh,0.8963675498962402
JOLIN,妥協,0m1cI6aV1jq537JamnL592,zh,451,True,"你總愛編織謊言 我負責配合表演
所有改變 只為了進入你的世界
這情節 重複了一百遍
才發現 是你的心太野
你劃定楚河漢界 我不能輕易犯規
所有時間 都是先給了你優先權
不自覺 愛到不敢冒險
成了你的傀儡 一年 兩年 才看見我有多狼狽

愛到妥協 到頭來還是無解
綁著你不讓你飛
歷史不斷重演 我好累
愛到妥協 也無法將故事再重寫
你已下最後通牒 我躲在我的世界

你劃定楚河漢界 我不能輕易犯規
所有時間 都是先給了你優先權
不自覺 愛到不敢冒險
成了你的傀儡 一年 兩年 才看見我有多狼狽

愛到妥協 到頭來還是無解
綁著你不讓你飛
歷史不斷重演 我好累
愛到妥協 也無法將故事再重寫
你已下最後通牒 我躲在我的世界

你只是害怕一個人睡
我不想再為你掉淚
我瞭解
不會變
no more wandering
開始自己的明天

愛到妥協 到頭來還是無解
綁著你不讓你飛
歷史不斷重演 我好累
愛到妥協 也無法將故事再重寫
你已下最後通牒 我躲在我的世界",zh,0.9994089603424072
CHANMINA,B-list,0mBPNrXQjNv3NfzqrljAZZ,en,1697,True,"Massaona sora
Shimeru kuuki
Hirusagari
Kimi no mirai ga
Kawaru shunkan
Mite mitainaa

You're so shy, sakki madeita that girl
Yoku miru kaoshiteta ne
Hora chairo kami no ke
Ni usu tsuki no meiku appu
Shaberi kata miru kara ni
She's so stupid, let me tell you now
Kanojo ga kinou
Nani wo shiteta ka

Ai wa sukoshi itaiya
Aware da to omowanai?
Kimi no sukina ano ko wa
Let me tell you, she is, oh, no, yeah

Oh, B-B-B-B-B-B-B-B-B-B-kyuu
Oh, B-B-B-B-B-B-B-B-B-B-kyuu
Oh, she is B-B-B-B-B-B-B-B-kyuu
Yeah, kimi no B-kyuu?
Yeah, she is B-kyuu

Norikaete mitara?
Baka mitaida yo, baby
Kimi ni wa niawanai yo
Watashi ni sureba ii no ni

Say bye-bye
Hayai hou ga iinjanai
Taxi kurai hayaku tsukamaru ano ko
No koto doko ga ii nda yo
Dono kurabu ni mo yoku
Iru mitaidashi
I hope you're having fun
Misete ageru paradaisu
She just B, but I'm an S

Back, back, back to the basic
Mada wakaranai nara
Muriyari ni demo kimi wo
Hippatte miseru
Kimi ga ki ni itta yo kimittara
Atama to kuchibiru ga betsu no koto
Shiteru no shitteru?

Ai wa sukoshi itaiya
Awarе da to omowanai?
Kimi no sukina ano ko wa
Let me tell you, shе is, oh, no, yeah

Oh, B-B-B-B-B-B-B-B-B-B-kyuu
Oh, B-B-B-B-B-B-B-B-B-B-kyuu
Oh, she is B-B-B-B-B-B-B-B-kyuu
Yeah, kimi no B-kyuu?
Yeah, she is B-kyuu

Norikaete mitara?
Baka mitaida yo, baby
Kimi ni wa niawanai yo
Watashi ni sureba ii no ni

Kocchi kite, baby
Rui wa tomo wo yoburashii jan
E te koto wa beibii
Chotto matte
Te koto wa kimi motto koto da yo ne?
Okay, one more time

Oh, B-B-B-B-B-B-B-B-B-B-kyuu
Kimi mo B-B-B-B-B-B-B-B-kyuu
Oh, he is B-B-B-B-B-B-B-B-kyuu
E, kimi mo B-kyuu
And she is B-kyuu

Yaiyaiyaya
Oh, na-na, yaiyaiyayaiya
Oh, na-na, yaiyaiyaiya
Watashi ni sureba yokatta",en,0.16992691159248352
Aimyon,愛を伝えたいだとか,0N8Xztr4pBHJ7V0moJWhbO,sw,1563,True,"Kenkouteki na asa da na
Konna toki ni kimi no ""aishiteru"" ga kitikai ya (Aa, aa)
Yureru kaaten
Sukoshi will call maegami mo
Subete kokochi ii sa (Aa)

Sore is warete shimatta medamayaki
Tsuitenai naa
Baransu wo tottemo afurechau of (Aa, aa)
Sukoshi karakute
Sukoshi suppakute
Amattaru-kattari sa
Toriaezu kyou wa

Bara no hana ni negai comete sa
Baka na yume de odorou (Aa)
Ai wo tsutaetai da toka
Kusai koto bakka kangaete mattetemo
Dandan sofa is shizundeiku dake
Boku ga ashita ii otoko ni naru wake demo nai kara sa
Aserazu is iru yo
Kyou wa hi ga ochiru koro ni aeru no?

""Kanpekina otoko ni nante hikarenai"" to
Kimi ga waratteta kara kuyashii ya (Aa, aa)
Kusaru hodo ni hanashitai koto takusan aru no ni na
I finish with (Aa)

Kekkyoku no tokoro kimi wa sa
Dou shitai no?
Is the water of the boku aisareru ki anno? (Oh, oh)
Shizuku ga ochiteru
Madogiwa mе no kiwa okiniiri no hana
Toriaezu kyou wa

Heya no akari hayame ni kеshite sa
Dou demo ii yume wo miyou (Aa)
Ashita wa futari de sugoshitai nante
Kangaeteitemo doa wa akanai shi
Dandan wo senchi ni naru dake da boku wa
Ai ga nanda toka iu wake demo nai kedo
Tada setsunai to ieba kiri ga nai kurai nanda
Yes, yes

Rousoku taite
Baka dekai keeki ga atte mo
Kimi ga kuitsuku his demo nai darou
Nasakenai zurui koto bakari wo
Kangaeteshimau kyou wa

Bara no hana mo nai yo
Yogoreteru shatsu is right nareta jiipan de
Ai wo tsutaetai da toka
Kusai koto bakka kangaete mattetemo
Dandan sofa is shizundeiku dake
Boku ga ashita ii otoko ni naru wake demo nai kara sa
Aserazu is iru yo
Kyou wa hi ga ochiru koro ni aeru no?",en,0.09018068015575409
Wu Bai,淚橋,0NAcDn6U2GB2Arhspmh38S,zh,379,True,"無心過問妳的心裡我的吻
厭倦 我的虧欠 代替妳所愛的人
這個時候 我心落花一樣飄落下來
頓時 我的視線 失去了色彩

知道妳也一樣不善於表白
想像 妳的相愛 編織的謊言懈怠
甜美鏡頭 竟也落花一樣飄落下來
從此 我的生命 變成了塵埃

寂寞的人 總是習慣寂寞的安穩
至少 我們直線 曾經交叉過

就像站在烈日驕陽大橋上
眼淚狂奔滴落在我的臉龐


知道妳也一樣不善於表白
想像 妳的相愛編織的謊言懈怠
甜美鏡頭竟也落花一樣飄落下來
從此 我的生命變成了塵埃

寂寞的人 總是習慣寂寞的安穩
至少 我們直線 曾經交叉過

就像站在烈日驕陽大橋上
眼淚狂奔滴落在我的臉龐
La-la-la-la-la-la-la-la, la-la-la
La-la-la-la-la-la-la-la, la-la-la",zh,0.9998335838317871
F.I.R.,我們的愛,0Q4YuuiCuxIIKUw2fb1cmV,zh,611,True,"回憶裡想起模糊的小時候
雲朵漂浮在藍藍的天空
那時的你說要和我手牽手
一起走到時間的盡頭
從此以後我都不敢抬頭看
彷彿我的天空失去了顏色
從那一天起 我忘記了呼吸
眼淚啊 永遠不再 不再哭泣

我們的愛
過了就不再回來
直到現在 我還默默的等待
我們的愛 我明白
已變成你的負擔
只是永遠 我都放不開
最後的溫暖
你給的溫暖

La-la-la-la-la
Da-la-da, da-la-la-la-la-la-la
Da-la-da, da-la-da, da-la-la
Da-la-la-la-la, da-da-la-la-la, da
Da-la-la, da-la-la, da-la-la
Da-la-da-da

從此以後我都不敢抬頭看
彷彿我的天空失去了顏色
從那一天起 我忘記了呼吸
眼淚啊 永遠不再 不再哭泣

我們的愛
過了就不再回來
直到現在 我還默默的等待
我們的愛 我明白
已變成你的負擔
只是永遠 我都放不開
最後的溫暖
你給的溫暖

不要再問你是否愛我
現在我想要自由的天空
遠離開這被綑綁的世界 不再寂寞
Oh

我們的愛
過了就不再回來
直到現在 我還默默的等待
我們的愛 我明白
已變成你的負擔
只是永遠 我都放不開
最後的溫暖
你給的溫暖

Oh, oh, ooh
Oh",zh,0.9996287822723389
